----------------------------------------
TestJet Report for "testjet".
Sat Jan 01 02:12:22 2005
DIGIBOARD-E14 GEN8 IPH-ATESS-APR 2026-BRAZIL-ERS
Board Version:  sb21w21218_u5
----------------------------------------
Open #1  Device jcp1
  Pin 1  Node TP4_RIGHT
  Measured 37.3             (BRC 220104)
Open #2  Device jcp1
  Pin 2  Node TP4_MIDDLE
  Measured 21.2             (BRC 221128)
Open #3  Device jcp1
  Pin 3  Node TP4_LEFT
  Measured 23.8             (BRC 22127)
Open #4  Device jcp1
  Pin 4  Node PAD_DISABLE_CP
  Measured 30.0             (BRC 211133)
Open #5  Device jcp1
  Pin 6  Node I2C_0_INT_N_CP
  Measured 29.5             (BRC 209126)
Open #6  Device jcp1
  Pin 7  Node PDEV_STP_N
  Measured 25.3             (BRC 20923)
Open #7  Device jcp1
  Pin 9  Node I2C_0_SDA_CP
  Measured 21.6             (BRC 215122)
Open #8  Device jcp1
  Pin 10  Node TP4_ACT_N
  Measured 28.9             (BRC 209124)
Open #9  Device jcp1
  Pin 12  Node PAD_FW_RW_EN_N
  Measured 30.6             (BRC 21125)
Open #10  Device jcp1
  Pin 13  Node I2C_0_SCL_CP
  Measured 24.1             (BRC 21521)
----------------------------------------
Serial #: 67830015ED
