1,1,ips3_15_ian8,6783001T5E,20260723,082959,F,0,1,,FFPFFPPPPPNN,1,F,3,20260723,082948,0,,,0,0

 334, PR1056,   348.00  ,   350.00  ,  20.0,  20.0, 2, R, 195, 639, A1, 250212.7416986  , 1
 1075, PC5400,    10.00uF,    25.00uF,  80.0,  80.0, 0, C, 654, 578, A1, 0.0076078uF, 1
 1076, PC5401,    10.00uF,    25.00uF,  80.0,  80.0, 0, C, 654, 578, A1, 0.0072495uF, 1
 1077, PC5402,    10.00uF,    25.00uF,  80.0,  80.0, 0, C, 654, 578, A1, 0.0057913uF, 1
 1078, PC5403,    10.00uF,    25.00uF,  80.0,  80.0, 0, C, 654, 578, A1, 0.0083161uF, 1
 1113, PC150,     1.00uF,    25.10uF,  80.0,  80.0, 4, C, 578, 654, A1, 99999.0000000uF, 1
 1129, PC151,    10.00uF,    25.00uF,  80.0,  80.0, 0, C, 654, 578, A1, 0.0080078uF, 1
 1496, RC195,   100.00K ,   100.00K ,  80.0,  70.0, 2, R, 144, 703, A1, 75063.9994083K , 1
 1543, RC91,   100.00K ,   100.00K ,  80.0,  80.0, 2, R, 654, 765, A1, 75063.9994083K , 1
 1825, PR5435_1_4,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 616, 578, A1, 4.0000000  , 1
 2193, UC1_140_38,    1.095V ,    1.095V ,  20.0,  81.0, 2, U, 706, 840, A1, 2.4398347V , 1
 2302, UC1_748_38,    1.166V ,    1.148V ,  20.0,  82.0, 2, U, 703, 840, A1, 2.4859620V , 1
 2419, UC1_140_40,    1.091V ,    1.091V ,  20.0,  81.0, 2, U, 706, 184, A1, 2.4293436V , 1
 2525, UC1_748_40,    1.259V ,    1.174V ,  20.0,  82.0, 2, U, 703, 184, A1, 2.5164360V , 1

Open < 703> < 142  703 > -> <703>-CPU_AC_PRESENT_R Parts:UC1.748   ; <142>-EC_AC_PRESENT Parts:RE136-NP
Open < 204> < 175  179  183  184  186  188  193  194  198  201  204  205  206  210  211  213  214  216  218  219  233  235  237  242  252  255  259  260  261  262  263  265  266  272  275  277  279  282  283  288  290  292  293  295  298  300  301  302  304  305  310  311  316  318  319  332  333  335  336  339  340  346  352  353  354  356  360  361  362  375  379  407  408  409  411  413  414  421  423  424  435  436  439  445  447  449  450  454  456  458  459  460  464  466  469  470  513  516  553  554  555  556  557  558  559  560  561  562  563  564  565  577  578  587  588  589  591  593  595  599  616  617  618  619  620  621  622  627  628  629  630  632  642  644  645  648  650  653  654  657  658  661  666  670  676  678  679  681  682  683  694  705  717  720  721  723  724  726  727  733  737  740  756  760  762  774  779  781  788  791  792  793  800  801  807  808  809  815  816  823  824  826  827  829  830  832  834  835  836  838  840  841  842  843  845  847  848  849  850  851  852  853  854  856  862  864  865  866  868  878  879  880  883  886 > -> <204>-EC_USM Parts:RE128-NP; <175>-RSVD_TP24 Parts:UC1.320
Open < 206> < 175  179  183  184  186  188  193  194  198  201  204  205  206  210  211  213  214  216  218  219  233  235  237  242  252  255  259  260  261  262  263  265  266  272  275  277  279  282  283  288  290  292  293  295  298  300  301  302  304  305  310  311  316  318  319  332  333  335  336  339  340  346  352  353  354  356  360  361  362  375  379  407  408  409  411  413  414  421  423  424  435  436  439  445  447  449  450  454  456  458  459  460  464  466  469  470  513  516  553  554  555  556  557  558  559  560  561  562  563  564  565  577  578  587  588  589  591  593  595  599  616  617  618  619  620  621  622  627  628  629  630  632  642  644  645  648  650  653  654  657  658  661  666  670  676  678  679  681  682  683  694  705  717  720  721  723  724  726  727  733  737  740  756  760  762  774  779  781  788  791  792  793  800  801  807  808  809  815  816  823  824  826  827  829  830  832  834  835  836  838  840  841  842  843  845  847  848  849  850  851  852  853  854  856  862  864  865  866  868  878  879  880  883  886 > -> <206>-+5VALW_PWRGD Parts:PR1511-NP; <175>-RSVD_TP24 Parts:UC1.320
Open < 466> < 175  179  183  184  186  188  193  194  198  201  204  205  206  210  211  213  214  216  218  219  233  235  237  242  252  255  259  260  261  262  263  265  266  272  275  277  279  282  283  288  290  292  293  295  298  300  301  302  304  305  310  311  316  318  319  332  333  335  336  339  340  346  352  353  354  356  360  361  362  375  379  407  408  409  411  413  414  421  423  424  435  436  439  445  447  449  450  454  456  458  459  460  464  466  469  470  513  516  553  554  555  556  557  558  559  560  561  562  563  564  565  577  578  587  588  589  591  593  595  599  616  617  618  619  620  621  622  627  628  629  630  632  642  644  645  648  650  653  654  657  658  661  666  670  676  678  679  681  682  683  694  705  717  720  721  723  724  726  727  733  737  740  756  760  762  774  779  781  788  791  792  793  800  801  807  808  809  815  816  823  824  826  827  829  830  832  834  835  836  838  840  841  842  843  845  847  848  849  850  851  852  853  854  856  862  864  865  866  868  878  879  880  883  886 > -> <466>-H_PROCHOT_N Parts:PR1044-NP-NC; <175>-RSVD_TP24 Parts:UC1.320
