1,160,ips3_15_ian8,6783001WGX,20260724,013013,F,0,1,,FFPFFPPPPPNN,1,F,3,20260724,013004,0,,,0,0

 325, RU5,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 70, 728, A1, 4.0000000  , 1
 564, PC1100,     1.00uF,    24.10uF,  80.0,  80.0, 0, C, 654, 613, A1, 0.0070661uF, 1
 882, CA16,    2.200uF,    1.200uF,  80.0,  80.0, 0, C, 670, 672, A1, 0.0004992uF, 1
 928, CA87,   100.00pF,   450.00pF,  80.0,  80.0, 1, C, 654, 853, A1, 78.2083260pF, 1
 1073, CU8,  100.000uF,    7.000uF,  80.0,  80.0, 0, C, 654, 728, A1, 0.0026665uF, 1
 1357, PR1101,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 798, 613, A1, 4.0000000  , 1
 2232, UC1_367_38,    0.530V ,    0.711V ,  82.0,  71.0, 2, U, 869, 840, A1, 2.0571612V , 1
 2457, UC1_367_40,    0.518V ,    0.518V ,  90.0,  61.0, 2, U, 869, 184, A1, 1.8582476V , 1

Open < 789> <  56  212  232  415  419  582  585  592  623  789 > -> <789>-+3VS_LS Parts:RJ8403-NP; <56>-HDMI_HPD_PWR Parts:RV501-NP
Open < 728> <  70  725  728 > -> <728>-+VBUS_CONN_R Parts:RU3; <70>-+VBUS_CONN Parts:RU3
Open < 853> < 210  413  853 > -> <853>-DMIC_CLK_CON Parts:JEDP1.22   ; <210>-CODEC_DMIC_CLK Parts:RA10-NP-NC
