// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight
FAIL,1,3,N50Q_5,66830031UE,20260701,001546,F,0,0,,FPPFFPPPPPNN,1,F,3,20260701,001531,0,,,0,0,16.13 sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, HLim, LLim, Mode, Type, HPin, LPin, Loc, Msr_V, Result
 70, LUS9/2_1,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 896, 302, C1, 4.0000000  , 1
 291, RETN40,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 892, 894, B6, 4.0000000  , 1
 330, RSD306,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 847, 129, A5, 4.0000000  , 1
 331, RSD307,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 845, 29, A5, 4.0000000  , 1
 339, RSI4,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 18, 848, A4, 4.0000000  , 1
 342, RSI18,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 854, 93, A4, 4.0000000  , 1
 345, RSI35,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 114, 836, A4, 4.0000000  , 1
 350, RSI56,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 115, 393, A4, 4.0000000  , 1
 355, RSI66,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 108, 838, A4, 4.0000000  , 1
 357, RSI72,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 111, 839, A4, 4.0000000  , 1
 359, RSI79,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 849, 91, A4, 4.0000000  , 1
 377, RSI109,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 102, 837, B4, 4.0000000  , 1
 454, RU38,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 285, 288, B1, 4.0000000  , 1
 499, PR208,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 1, 755, G1, 11578.0754186K , 1
 702, RC207,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 1, 977, D4, 87.6051998K , 1
 747, RC348,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 895, C4, 1226.2194377K , 1
 766, RC1414,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 855, A5, 210.8589977K , 1
 767, RCH3,    1.000K ,    1.000K ,  10.0,  10.0, 1, R, 767, 649, F6, 99999.9000000K , 1
 768, RCH10,    1.000K ,    1.000K ,  10.0,  10.0, 1, R, 773, 767, G3, 99999.9000000K , 1
 769, RCH11,    1.000K ,    1.000K ,  10.0,  10.0, 1, R, 777, 767, G3, 99999.9000000K , 1
 770, RCH15,    1.000K ,    1.000K ,  10.0,  10.0, 1, R, 770, 767, G3, 99999.9000000K , 1
 771, RCH16,    1.000K ,    1.000K ,  10.0,  10.0, 1, R, 769, 767, G3, 99999.9000000K , 1
 772, RCH17,    10.00K ,    10.00K ,  25.0,  25.0, 1, R, 767, 729, E3, 99999.9000000K , 1
 774, RCH19,    10.00K ,    10.00K ,  15.0,  15.0, 1, R, 730, 767, G5, 379.2798499K , 1
 775, RCH20,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 728, 767, G5, 235.4381372K , 1
 817, RH152,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 839, 785, G4, 50.0329589K , 1
 859, RMS14,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 1, 1060, B4, 85.9586728K , 1
 860, RMS92,   100.00K ,   100.00K ,  10.0,  10.0, 1, R, 858, 1, A4, 99999.9000000K , 1
 862, RSD439,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 873, 846, A5, 6290.0041129  , 1
 932, RSQ48,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 13, 385, C6, 40073.4616941  , 1
 938, RSQ54,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 1158, 386, C5, 1345.4063502K , 1
 939, RSQ55,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 1158, 390, C6, 1295.0620893K , 1
 1260, CTC15/CTC16,  470.000uF,    1.300uF,  20.0,  20.0, 0, C, 6, 1, F7, 1.7708311uF, 1
 1266, CTC27/CUS4,   220.00uF,   500.00uF,  30.0,  30.0, 9, C, 1, 3, F1, 660.8390902uF, 1
 1500, CU471,   100.00nF,   100.00nF,  35.0,  35.0, 11, C, 284, 291, B1, 0.1121123nF, 1
 1531, PC214,    47.00nF,    47.00nF,  20.0,  20.0, 0, C, 755, 1, G1, 0.2188044nF, 1
 1533, CETN4,    10.00nF,    10.00nF,  20.0,  20.0, 1, C, 1, 849, A2, 0.0676162nF, 1
 1571, DC1,    0.382V ,    0.382V ,  30.0,  30.0, 1, D, 365, 853, C4, 0.9793622V , 1
 1577, DC6/1_2,    0.395V ,    0.395V ,  30.0,  30.0, 1, D, 979, 895, C3, 1.7408050V , 1
 1607, DFAN1/2_1,    0.386V ,    0.386V ,  30.0,  30.0, 1, D, 856, 14, D1, 0.5302122V , 1
 1761, QETN3/1_3,    0.887V ,    0.887V ,  20.0,  20.0, 1, Q, 61, 849, A2, 2.2334751V , 1
 1763, QETN3/3_2_1,    3.000V ,    0.250V ,  20.0,  -1.0, 4, Q, 849, 1, A2, 2.0015623V , 1
 1820, QSQ10/4_3,    0.755V ,    0.755V ,  20.0,  20.0, 1, Q, 1, 385, C5, 2.1018785V , 1
 1821, QSQ10/3_4_5/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 385, 1, C5, 59652.2923824  , 1
 1829, QSQ12/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 389, 1, C6, 93.3073206  , 1
 1838, QSQ17/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 383, 1, C5, 91.1272173  , 1
 1913, USI1_56_6,    0.753V ,    0.753V ,  40.0,  40.0, 2, U, 1, 896, A1, 2.0965382V , 1
 1992, USI1_56_66,    1.045V ,    1.045V ,  40.0,  40.0, 2, U, 896, 924, A1, 2.3891432V , 1
 2214, U1_794_1,    0.395V ,    0.395V ,  40.0,  40.0, 2, U, 1, 396, A1, 1.7405659V , 1
 2245, U1_938_1,    0.398V ,    0.398V ,  40.0,  40.0, 2, U, 1, 395, A1, 0.5659210V , 1
 2264, U1_1000_1,    0.695V ,    0.695V ,  40.0,  40.0, 2, U, 1, 835, A1, 2.0381128V , 1
 2661, U1_794_148,    0.656V ,    0.656V ,  40.0,  40.0, 2, U, 396, 21, A1, 1.9992157V , 1
 2953, PU201_24_1,    0.747V ,    0.747V ,  40.0,  40.0, 2, U, 1, 755, A1, 2.0915166V , 1
 3101, UUS2_3_2,    0.766V ,    0.766V ,  40.0,  40.0, 2, U, 1, 895, A1, 2.1111246V , 1
 3133, DUS12_2_3,    0.778V ,    0.778V ,  40.0,  40.0, 2, U, 1, 291, A1, 2.1209286V , 1
 3134, DUS12_10_3,    0.775V ,    0.775V ,  40.0,  40.0, 2, U, 1, 291, A1, 2.1214068V , 1
 3135, DUS12_2_1,    0.962V ,    0.962V ,  40.0,  40.0, 2, U, 291, 290, A1, 2.3063275V , 1
 3136, DUS12_10_1,    0.966V ,    0.966V ,  40.0,  40.0, 2, U, 291, 290, A1, 2.3118273V , 1
