// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight
FAIL,1,11,N50Q_5,66830030XN,20260701,002313,F,0,0,,FPPFFPPPPPNN,1,F,3,20260701,002258,0,,,0,0,15.31 sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, HLim, LLim, Mode, Type, HPin, LPin, Loc, Msr_V, Result
 642, RC21,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 853, C4, 225.6707906K , 1
 1241, CSI21,   100.00pF,   100.00pF,  30.0,  30.0, 2, C, 1, 112, A4, 64.7944450pF, 1
 2063, U1_131_1,    0.382V ,    0.382V ,  40.0,  40.0, 2, U, 1, 501, A1, 0.5417698V , 1
 2067, U1_157_1,    0.383V ,    0.383V ,  40.0,  40.0, 2, U, 1, 531, A1, 0.5595445V , 1
 2069, U1_160_1,    0.381V ,    0.381V ,  40.0,  40.0, 2, U, 1, 534, A1, 0.5596242V , 1
 2093, U1_223_1,    0.384V ,    0.384V ,  40.0,  40.0, 2, U, 1, 509, A1, 0.5620154V , 1
 2100, U1_253_1,    0.381V ,    0.381V ,  40.0,  40.0, 2, U, 1, 508, A1, 0.5593053V , 1
 2106, U1_292_1,    0.387V ,    0.387V ,  40.0,  40.0, 2, U, 1, 514, A1, 0.5430451V , 1
 2110, U1_300_1,    0.388V ,    0.388V ,  40.0,  40.0, 2, U, 1, 530, A1, 0.5436030V , 1
 2112, U1_314_1,    0.385V ,    0.385V ,  40.0,  40.0, 2, U, 1, 513, A1, 0.5394582V , 1
 2152, U1_480_1,    0.391V ,    0.391V ,  40.0,  40.0, 2, U, 1, 658, A1, 0.5491028V , 1
 2482, U1_1709_1,    0.384V ,    0.384V ,  40.0,  40.0, 2, U, 1, 538, A1, 0.5581894V , 1
 2484, U1_1727_1,    0.384V ,    0.384V ,  40.0,  40.0, 2, U, 1, 716, A1, 0.5583488V , 1
