1,37,M75S_5_APH_REV1,6783000B4M,20260703,215013,F,1,1,,FFPFFPPPPPNN,1,F,3,20260703,215001,0,,,0,0

 194, PC343/PC344/PC345/PC341/PC342,    10.00uF,   600.00uF,  20.0,  20.0, 4, C, 576, 634, A1, 99999.0000000uF, 1
 1375, CCOM2,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 1103, A1, 0.1255930nF, 1
 1635, PC478,     1.00uF,   100.00uF,  20.0,  20.0, 4, C, 576, 408, A1, 14.4584487uF, 1
 1803, CPE65,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 660, 773, A1, 0.0124261nF, 1
 2295, DCOM2,    0.677V ,    0.677V ,  20.0,  20.0, 0, D, 910, 1103, A1, 2.0252940V , 1
 2727, PU33_1_4,    0.599V ,    0.599V ,  90.0,  66.0, 2, U, 576, 1455, B2, 1.9460496V , 1
 2728, PU33_2_4,    0.681V ,    0.681V ,  90.0,  66.0, 2, U, 576, 1446, B2, 2.0244492V , 1

Open <1463> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <1463>-VDDCR_CPU_SENSE1_L; <16>-TSD- Parts:USI1.84
Open < 421> < 145  408  421  809 1313 1458 > -> <421>-+3V3_VDD1_SOC Parts:PU32.31; <145>-+3V3_S5_FCH Parts:FCH.330
Open < 634> < 311  416  634  924 1045 1133 > -> <634>-+1V8_S5_VIN Parts:PC343/PC344/PC345/PC341/PC342; <311>-3V5V_VIN Parts:PU1.12
