// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight
FAIL,1,723,N50Q_5,66830031VV,20260703,223729,F,0,0,,FPPFFPPPPPNN,1,F,0,20260703,223719,0,,,0,0,10.91 sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, HLim, LLim, Mode, Type, HPin, LPin, Loc, Msr_V, Result
 3, H35_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1183, 1, D4, 4.0000000  , 1
 4, H36_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1184, 1, D6, 4.0000000  , 1
 5, H37_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1185, 1, G5, 4.0000000  , 1
 6, H41_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1186, 1, D1, 4.0000000  , 1
 7, JCFAN2_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1188, 1181, C1, 4.0000000  , 1
 8, JDCIN1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1188, 1181, F7, 4.0000000  , 1
 9, JDP1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1189, 1181, F7, 4.0000000  , 1
 10, JHDMI2_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1190, 1181, D7, 4.0000000  , 1
 11, JLAN1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1191, 1181, A7, 4.0000000  , 1
 12, JP35_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1192, 1181, G3, 4.0000000  , 1
 13, JRTC1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1193, 1181, C3, 4.0000000  , 1
 14, JSPK1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1194, 1181, D2, 4.0000000  , 1
 15, JSSD1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1195, 1181, C2, 4.0000000  , 1
 16, JSSD2_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1196, 1181, A2, 4.0000000  , 1
 17, JTC1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1197, 1181, E1, 4.0000000  , 1
 18, JUAJ1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1198, 1181, E1, 4.0000000  , 1
 20, JUSBR4_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1200, 1181, B7, 4.0000000  , 1
 21, JUSBR5_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1201, 1181, C7, 4.0000000  , 1
 22, JUSBR6_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1202, 1181, C7, 4.0000000  , 1
 23, JUSBR7_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1203, 1181, E7, 4.0000000  , 1
 25, SW1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1205, 1181, G1, 4.0000000  , 1
