1,137,M75S_5_APH_REV1,6783000B61,20260706,100340,F,0,1,,FFPFFPPPPPNN,1,F,0,20260706,100334,0,,,0,0

 1, ATX_12_SP,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 1537, 1538, A1, 4.0000000  , 1
 3, AUX1_FAN_SP,    1.000  ,    1.000  ,  10.0,  10.0, 1, J, 1540, 1537, A1, 4.0000000  , 1
 8, CPU_FAN_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1545, 1537, A1, 4.0000000  , 1
 9, DP1_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1546, 1537, A1, 4.0000000  , 1
 10, DP2_HDMI2,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1546, 1537, A1, 4.0000000  , 1
 13, F_COMBO_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1550, 1537, A1, 4.0000000  , 1
 14, F_USB3G1_1_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1551, 1537, A1, 4.0000000  , 1
 15, USB3G1_2_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1552, 1537, A1, 4.0000000  , 1
 16, FMIC_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1553, 1537, A1, 4.0000000  , 1
 17, H24_SP,    1.000  ,    1.000  ,  10.0,  10.0, 1, J, 1554, 1537, A1, 4.0000000  , 1
 21, MONO_OUT_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1559, 1537, A1, 4.0000000  , 1
 22, SATA1_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1559, 1537, A1, 4.0000000  , 1
 23, SATA2_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1560, 1537, A1, 4.0000000  , 1
 25, SATA_PWR2_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1562, 1537, A1, 4.0000000  , 1
 27, TYPEC_SP,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1564, 1537, A1, 4.0000000  , 1
 29, USB_LAN_SP,    1.000  ,    1.000  ,  10.0,  10.0, 1, J, 1566, 1537, A1, 4.0000000  , 1
 33, RPE65,   200.00  ,   200.00  ,  20.0,  20.0, 0, R, 576, 789, A1, 99999.9000000  , 1
 71, CHD19/CHD7/CHD20/CHD9,    10.00uF,    43.00uF,  20.0,  20.0, 4, C, 576, 931, A1, 99999.0000000uF, 1
 75, CTM3/CTM2/CTM4/CTM5/CTM6,     10.0uF,   1000.0uF,  20.0,  20.0, 4, C, 576, 834, A1, 99999.0000000uF, 1
 103, CDP9/CDP10,    22.00uF,    16.00uF,  80.0,  80.0, 4, C, 576, 1439, A1, 99999.0000000uF, 1
 110, CH55/CH56/CH57/CH58/PC119/PC12,    22.00uF,   115.00uF,  20.0,  20.0, 8, C, 576, 613, A1, 99999.0000000uF, 1
 114, CH73/PC115/PC116/CH74/CH75/CH7,    22.00uF,    60.00uF,  90.0,  90.0, 8, C, 576, 621, A1, 99999.0000000uF, 1
 115, CH77/PC377/PC379/PC378/CH78/CH,    22.00uF,    44.00uF,  20.0,  20.0, 4, C, 576, 713, A1, 99999.0000000uF, 1
 116, CHM1/CHM2/CHM35,    22.00uF,    18.00uF,  20.0,  20.0, 4, C, 576, 1438, A1, 99999.0000000uF, 1
 117, CHM22/CHM42/CHM24,    22.00uF,    25.32uF,  90.0,  90.0, 0, C, 576, 1209, A1, 0.0055280uF, 1
 118, CL171/CL201-NP/CL202-NP/CL172/,    22.00uF,    30.00uF,  90.0,  90.0, 4, C, 576, 802, A1, 99999.0000000uF, 1
 119, CL185/CL187/CL223/CL225/CL227/,    22.00uF,    28.36uF,  90.0,  90.0, 0, C, 576, 802, A1, 0.0050123uF, 1
 120, CSI1/CSI5/CSI3/CSI4/CSI45/CSI6,     22.0uF,   1100.0uF,  90.0,  90.0, 8, C, 576, 654, A1, 99999.0000000uF, 1
 137, PC159/PC162/PC163/PC164/PC166/,    22.00uF,    95.00uF,  20.0,  20.0, 4, C, 576, 238, A1, 99999.0000000uF, 1
 190, PC126/PC127/PC128/PC129/PC320/,    10.00uF,   600.00uF,  20.0,  20.0, 4, C, 576, 416, A1, 99999.0000000uF, 1
 194, PC343/PC344/PC345/PC341/PC342,    10.00uF,   600.00uF,  20.0,  20.0, 4, C, 576, 634, A1, 99999.0000000uF, 1
 198, PC130,   100.00nF,   100.00nF,  20.0,  20.0, 0, C, 419, 1355, A1, 0.0337333nF, 1
 256, RSD39,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 809, 764, A1, 2466.6660761K , 1
 266, PR10,   10.000K ,    3.000K ,  20.0,  20.0, 2, R, 910, 91, A1, 813.9994094K , 1
 269, PR238,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 1130, 671, A1, 2466.6660761K , 1
 270, PR39,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 1135, 318, A1, 99999.9000000K , 1
 271, PR395,   10.000K ,    7.000K ,  20.0,  20.0, 2, R, 560, 50, A1, 2466.6660761K , 1
 277, R16,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 1099, 560, A1, 2466.6660761K , 1
 278, R17,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 1102, 560, A1, 2466.6660761K , 1
 281, R42,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 809, 1356, A1, 99999.9000000K , 1
 282, R43,    10.00K ,    10.00K ,  30.0,  30.0, 1, R, 1046, 372, A1, 99999.9000000K , 1
 289, R68,   10.000K ,    5.000K ,  30.0,  30.0, 2, R, 560, 1317, A1, 1849.9994094K , 1
 292, R85,   10.000K ,    7.700K ,  20.0,  20.0, 2, R, 809, 13, A1, 2466.6660761K , 1
 293, R94,   10.000K ,    1.000K ,  20.0,  20.0, 2, R, 809, 1315, A1, 813.9994094K , 1
 296, RA17,    10.00K ,    10.00K ,  20.0,  20.0, 0, R, 363, 1243, A1, 99999.9000000K , 1
 308, RC125,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 729, 232, A1, 2466.6660761K , 1
 310, RC135,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 49, 809, A1, 3699.9994094K , 1
 311, RC137,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 84, 560, A1, 2466.6660761K , 1
 318, RC173,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 576, 225, A1, 99999.9000000K , 1
 319, RC174,    10.00K ,    10.00K ,  30.0,  30.0, 1, R, 576, 228, A1, 99999.9000000K , 1
 320, RC175,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 576, 229, A1, 99999.9000000K , 1
 321, RC176,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 576, 227, A1, 99999.9000000K , 1
 327, RC184,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 729, 244, A1, 99999.9000000K , 1
 328, RC187,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 729, 243, A1, 99999.9000000K , 1
 329, RC199,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 576, 258, A1, 99999.9000000K , 1
 338, RC226,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 729, 736, A1, 2466.6660761K , 1
 339, RC228,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 14, 560, A1, 2466.6660761K , 1
 340, RC229,   10.000K ,    9.000K ,  30.0,  30.0, 2, R, 14, 560, A1, 2466.6660761K , 1
 343, RC242,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 729, 118, A1, 99999.9000000K , 1
 345, RC31,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 560, 646, A1, 99999.9000000K , 1
 350, RC83,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 146, 809, A1, 2466.6660761K , 1
 351, RC85,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 730, 809, A1, 2466.6660761K , 1
 352, RC92,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 809, 996, A1, 99999.9000000K , 1
 362, RH168,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 145, 731, A1, 2466.6660761K , 1
 363, RH170,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 120, 621, A1, 2466.6660761K , 1
 364, RH171,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 119, 621, A1, 2466.6660761K , 1
 365, RH173,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 429, 621, A1, 2466.6660761K , 1
 366, RH19,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 172, 621, A1, 2466.6660761K , 1
 367, RH21,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 166, 621, A1, 2466.6660761K , 1
 368, RH22,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 170, 621, A1, 2466.6660761K , 1
 369, RH24,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 171, 621, A1, 2466.6660761K , 1
 370, RH25,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 168, 621, A1, 2466.6660761K , 1
 372, RH71,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 600, 621, A1, 2466.6660761K , 1
 373, RH76,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 621, 462, A1, 2466.6660761K , 1
 375, RH79,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 587, 621, A1, 2466.6660761K , 1
 377, RH83,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 621, 12, A1, 2466.6660761K , 1
 379, RH86,    10.00K ,    10.00K ,  30.0,  30.0, 1, R, 621, 1006, A1, 99999.9000000K , 1
 383, RHM70,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 1204, 340, A1, 99999.9000000K , 1
 385, RHM74,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 560, 1211, A1, 2466.6660761K , 1
 397, RPC28,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 809, 177, A1, 2466.6660761K , 1
 398, RPE13,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 809, 786, A1, 2466.6660761K , 1
 400, RPE23,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 809, 666, A1, 2466.6660761K , 1
 401, RPE3,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 809, 771, A1, 99999.9000000K , 1
 405, RPE9,    10.00K ,    10.00K ,  20.0,  20.0, 1, R, 560, 769, A1, 99999.9000000K , 1
 411, RSI10,   10.000K ,    7.000K ,  20.0,  20.0, 2, R, 654, 669, A1, 2466.6660761K , 1
 414, RSI17,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 654, 727, A1, 2466.6660761K , 1
 418, RSI27,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 296, 560, A1, 2466.6660761K , 1
 421, RSI7,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 647, 654, A1, 2466.6660761K , 1
 426, RSI90,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 182, 654, A1, 2466.6660761K , 1
 427, RSI91,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 654, 103, A1, 2466.6660761K , 1
 440, PR389,    0.000  ,    1.000  ,  10.0,  10.0, 2, J, 809, 1458, A1, 4.0000000  , 1
 455, PR35,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 312, 1134, A1, 4.0000000  , 1
 458, PR514,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 1459, A1, 4.0000000  , 1
