1,1011,M75S_5_APH_REV1,6783000D2P,20260707,161847,F,1,1,,PFFPPPPPPPNN,1,F,3,20260707,161838,0,,,0,0


Open <  96> <   3   96  655 > -> <96>-EC_GP16 Parts:USI1.1; <3>-USD1_2 Parts:USD1.2
Open < 655> <   3   96  655 > -> <655>-PT21_PCIE_RST_L Parts:RH72; <3>-USD1_2 Parts:USD1.2
Open < 632> <   5  430  632 > -> <632>-EC_M2SSD_AUX_RST_L Parts:USI1.61; <5>-USD1_1 Parts:USD1.1
Open < 668> <   8  668 > -> <668>-PCIEX1SLOT1_SMBUS_CLK Parts:PCIE1X_2.23; <8>-SMBUS1_CLK_3V3_S5 Parts:Q3A-DSG
Open < 166> <  15  166 > -> <166>-PT21_CLK_REQ1_L Parts:FCH.45; <15>-WLAN_PT21_CLK_REQ_L Parts:RH53
Open < 234> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <234>-VDD_MISC_S5_SENSE_L Parts:PR127; <16>-TSD- Parts:USI1.84
Open < 236> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <236>-VSS_SENSE_B Parts:CPU.646; <16>-TSD- Parts:USI1.84
Open < 404> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <404>-VDDIO_MEM_S3_SENSE_L Parts:PR110; <16>-TSD- Parts:USI1.84
Open < 405> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <405>-VDDCR_SOC_SENSE2_L Parts:PR503; <16>-TSD- Parts:USI1.84
Open < 439> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <439>-CASEH_G Parts:THER_HD.3; <16>-TSD- Parts:USI1.84
Open < 576> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <576>-GND Parts:DIMM2.291; <16>-TSD- Parts:USI1.84
Open < 653> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <653>-SIO_AGND Parts:USI1.83; <16>-TSD- Parts:USI1.84
