1,8,M75S_5_APH_REV1,678300097H,20260708,072703,F,0,1,,FFPFFPPPPPNN,1,F,3,20260708,072651,0,,,0,0

 719, RSD20,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 655, 3, A1, 4.0000000  , 1
 734, RSI43,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 655, 96, A1, 4.0000000  , 1
 920, PR232,   120.00  ,   120.00  ,  20.0,  20.0, 0, R, 1105, 1010, A1, 99999.9000000  , 1
 943, RPS6,    2.200K ,    2.200K ,  20.0,  20.0, 0, R, 1112, 673, A1, 99999.9000000K , 1
 955, RHD15,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 910, 932, A1, 4.0000000  , 1
 956, RHD16,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 910, 932, A1, 4.0000000  , 1
 957, RHD17,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 910, 932, A1, 4.0000000  , 1
 1073, R27,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 49, 1351, A1, 41.7313782  , 1
 1094, RSI35,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 750, 181, A1, 99999.9000000  , 1
 1239, CUS18/CUS20/CUS24/CUS83,   470.00uF,   470.30uF,  20.0,  20.0, 4, C, 576, 1105, A1, 99999.0000000uF, 1
 1375, CCOM2,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 1103, A1, 0.1218450nF, 1
 1792, CPE36,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 856, 861, A1, 0.0186982nF, 1
 2571, UUS9:2-5,    1.000V ,    1.000mA,  20.0,  20.0, 5, D, 576, 1105, A1, 0.0189189mA, 1
 2683, PU24_1_4,    0.598V ,    0.598V ,  90.0,  66.0, 2, U, 576, 1457, B2, 1.9428209V , 1
 3308, USI1_78_6,    0.729V ,    0.729V ,  78.0,  72.0, 2, U, 576, 673, B2, 2.0750845V , 1

Open < 655> <   3   96  655 > -> <655>-PT21_PCIE_RST_L Parts:RH72; <3>-USD1_2 Parts:USD1.2
Open <1097> <  16  234  236  404  405  439  576  653  723  753 1021 1097 1416 1418 1419 1459 1463 1471 > -> <1097>-VDD_MISC_SENSE_L; <16>-TSD- Parts:USI1.84
Open <1112> <1105 1112 > -> <1112>-+PWR_PS2 Parts:RPS5; <1105>-VBUS_RUSBCONN0 Parts:UUS9.5
