1,5,IPS3_15ARP10_4511UV1220D,6783000S84,20260710,121235,F,0,2,,PFFPPPPPPPNN,1,F,3,20260710,121221,0,,,0,0,14.17 sec


Open <  22> <   1   22   24   82  308  310 > -> <22>-+VDDCR_VDD Parts:UC1.1129; <1>-GND Parts:UV150.2
Open <  24> <   1   22   24   82  308  310 > -> <24>-+VDDCR_SOC Parts:UC1.1046; <1>-GND Parts:UV150.2
Open <  82> <   1   22   24   82  308  310 > -> <82>-GNDA_EC Parts:UE1.50; <1>-GND Parts:UV150.2
Open < 308> <   1   22   24   82  308  310 > -> <308>-GNDA Parts:UA1.37; <1>-GND Parts:UV150.2
Open < 310> <   1   22   24   82  308  310 > -> <310>-RING3_CONN Parts:UA1.31; <1>-GND Parts:UV150.2
Open <  26> <   2   26   28  111  118  187  190  202  203  585  591 > -> <26>-+CPU_VIN Parts:PJ1101; <2>-+B+ Parts:JV1
Open <  28> <   2   26   28  111  118  187  190  202  203  585  591 > -> <28>-RT3674AE_VIN Parts:PU1001.14; <2>-+B+ Parts:JV1
Open < 111> <   2   26   28  111  118  187  190  202  203  585  591 > -> <111>-3P3VALW_VIN Parts:PU5900.4; <2>-+B+ Parts:JV1
Open < 118> <   2   26   28  111  118  187  190  202  203  585  591 > -> <118>-5VALW_VIN Parts:PU5600.1; <2>-+B+ Parts:JV1
Open < 187> <   2   26   28  111  118  187  190  202  203  585  591 > -> <187>-+P4 Parts:PL5302; <2>-+B+ Parts:JV1
Open < 190> <   2   26   28  111  118  187  190  202  203  585  591 > -> <190>-N131831395 Parts:FV150; <2>-+B+ Parts:JV1
Open < 202> <   2   26   28  111  118  187  190  202  203  585  591 > -> <202>-+P3 Parts:PL5302; <2>-+B+ Parts:JV1
