1,17,N30S5_i3,6783000RUE,20260713,101106,F,0,1,,FFPFFPPPPPNN,1,F,0,20260713,101059,0,,,0,0

 1, J101_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1318, 1334, A1, 4.0000000  , 1
 2, J120_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1317, 1334, A1, 4.0000000  , 1
 3, J500_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1309, 1334, A1, 4.0000000  , 1
 4, AJ2_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1315, 1334, A1, 4.0000000  , 1
 5, AJ3_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1314, 1334, A1, 4.0000000  , 1
 6, CR18_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1313, 1334, A1, 4.0000000  , 1
 7, AP1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1312, 1334, A1, 4.0000000  , 1
 8, BZ350_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1311, 1334, A1, 4.0000000  , 1
 9, XBT300_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1310, 1334, A1, 4.0000000  , 1
 10, J500_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1316, 1334, A1, 4.0000000  , 1
 11, J301_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1333, 1334, A1, 4.0000000  , 1
 12, AJ1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1332, 1334, A1, 4.0000000  , 1
 13, VJ500_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1331, 1334, A1, 4.0000000  , 1
 14, VJ400_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1330, 1334, A1, 4.0000000  , 1
 15, J150_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1329, 1334, A1, 4.0000000  , 1
 16, LJ1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1328, 1334, A1, 4.0000000  , 1
 17, CN1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1324, 1334, A1, 4.0000000  , 1
 18, CN3_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1325, 1334, A1, 4.0000000  , 1
 19, CN2_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1323, 1334, A1, 4.0000000  , 1
 20, XNUT30_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1321, 1334, A1, 4.0000000  , 1
 21, XNUT50_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1322, 1334, A1, 4.0000000  , 1
 22, HY100_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1326, 1334, A1, 4.0000000  , 1
 23, J6_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1327, 1334, A1, 4.0000000  , 1
 24, XNUT40_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1319, 1334, A1, 4.0000000  , 1
 25, J300_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 1320, 1334, A1, 4.0000000  , 1
 29, HR303,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 969, 1058, A1, 2466.3994378K , 1
 43, LR1,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 253, 1058, A1, 2466.3994378K , 1
 45, HR341,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 1265, 1058, A1, 2466.3994378K , 1
 79, HR335,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 613, 1058, A1, 2466.3994378K , 1
 91, HR330,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 539, 1257, A1, 4.0000000  , 1
 93, HR328,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 532, 631, A1, 4.0000000  , 1
 102, HR339,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 632, 1058, A1, 2466.3994378K , 1
 103, HR333,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 460, 1058, A1, 2466.3994378K , 1
 104, HR337,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 459, 1058, A1, 2466.3994378K , 1
 107, PR671,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 731, 429, A1, 4.0000000  , 1
 110, HR224,    1.000M ,    1.000M ,  30.0,  30.0, 2, R, 388, 503, A1, 1220.8679994M , 1
 112, PR486,    1.000K ,    1.000K ,  30.0,  30.0, 2, R, 1112, 1110, A1, 813.9114378K , 1
 120, SR109,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 638, 1169, A1, 12331.4377736  , 1
 122, SR8,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 917, 1169, A1, 12331.4377736  , 1
 125, HR118,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 635, 1058, A1, 2466.3994378K , 1
 126, HR116,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 634, 1058, A1, 2466.3994378K , 1
 129, D254,    1.076V ,    0.410V ,  30.0,  30.0, 0, D, 934, 536, A1, 1.7574535V , 1
 133, AR20,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 830, 429, A1, 4.0000000  , 1
 134, AR21,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 787, 429, A1, 4.0000000  , 1
 135, AR7,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 832, 429, A1, 4.0000000  , 1
 136, AR19,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 795, 429, A1, 4.0000000  , 1
 137, AC31,    1.000nF,    1.510nF,  30.0,  30.0, 1, C, 901, 429, A1, 0.0000000nF, 1
 138, AR3,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 901, 875, A1, 4.0000000  , 1
 141, AR4,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 935, 900, A1, 4.0000000  , 1
 144, AC29,    1.000nF,    1.510nF,  30.0,  30.0, 1, C, 900, 429, A1, 0.0005788nF, 1
 148, PR1241,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 60, 1058, A1, 4.0000000  , 1
 156, PR1238,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 52, 1132, A1, 4.0000000  , 1
 157, PR1237,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 52, 1132, A1, 4.0000000  , 1
 159, PC1232,    22.00uF,   650.01uF,  80.0,  80.0, 4, C, 52, 429, A1, 99999.0000000uF, 1
 178, PR1229,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 71, 925, A1, 4.0000000  , 1
 179, PR1226,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 71, 925, A1, 4.0000000  , 1
 182, PR1227,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 71, 925, A1, 4.0000000  , 1
 218, PR1257,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 77, 925, A1, 4.0000000  , 1
 219, PR1256,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 77, 925, A1, 4.0000000  , 1
 220, LL3,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 244, 245, A1, 4.0000000  , 1
 227, LR26,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 1058, 248, A1, 2466.3994378K , 1
