1,1,N50Q_5,6783000ZTT,20260721,100017,F,1,1,,FPPPFPPPPPNN,1,F,3,20260721,100002,0,,,0,0

 2113, U1_299_1,    0.386V ,    0.386V ,  35.0,  35.0, 2, U, 1, 535, A1, 0.5298685V , 1
 2114, U1_300_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 530, A1, 0.5306285V , 1
 2116, U1_314_1,    0.385V ,    0.385V ,  35.0,  35.0, 2, U, 1, 513, A1, 0.5286864V , 1
 2117, U1_315_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 504, A1, 0.5290241V , 1
 2118, U1_316_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 521, A1, 0.5325707V , 1
 2121, U1_322_1,    0.387V ,    0.387V ,  35.0,  35.0, 2, U, 1, 533, A1, 0.5283486V , 1
 2122, U1_323_1,    0.384V ,    0.384V ,  35.0,  35.0, 2, U, 1, 523, A1, 0.5302063V , 1
 2139, U1_415_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 516, A1, 0.5304596V , 1
 2142, U1_423_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 529, A1, 0.5337528V , 1
 2143, U1_424_1,    0.387V ,    0.387V ,  35.0,  35.0, 2, U, 1, 505, A1, 0.5317262V , 1
 2146, U1_437_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 506, A1, 0.5312196V , 1
 2147, U1_438_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 518, A1, 0.5296997V , 1
 2152, U1_448_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 526, A1, 0.5303752V , 1
 2156, U1_480_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 658, A1, 0.5314729V , 1
 2157, U1_481_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 669, A1, 0.5323173V , 1
 2158, U1_482_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 661, A1, 0.5315574V , 1
 2160, U1_490_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 666, A1, 0.5314729V , 1
 2161, U1_502_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 662, A1, 0.5316418V , 1
 2162, U1_504_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 657, A1, 0.5312196V , 1
 2163, U1_505_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 678, A1, 0.5362016V , 1
 2164, U1_506_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 650, A1, 0.5310507V , 1
 2168, U1_515_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 677, A1, 0.5300374V , 1
 2169, U1_525_1,    0.394V ,    0.394V ,  35.0,  35.0, 2, U, 1, 670, A1, 0.5353572V , 1
