1,1,N50Q_5,678300100B,20260721,103658,F,1,1,,FPPPFPPPPPNN,1,F,3,20260721,103644,0,,,0,0

 2072, U1_158_1,    0.384V ,    0.384V ,  35.0,  35.0, 2, U, 1, 525, A1, 0.5252243V , 1
 2073, U1_160_1,    0.381V ,    0.381V ,  35.0,  35.0, 2, U, 1, 534, A1, 0.5298685V , 1
 2110, U1_292_1,    0.387V ,    0.387V ,  35.0,  35.0, 2, U, 1, 514, A1, 0.5293619V , 1
 2113, U1_299_1,    0.386V ,    0.386V ,  35.0,  35.0, 2, U, 1, 535, A1, 0.5300374V , 1
 2114, U1_300_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 530, A1, 0.5305441V , 1
 2117, U1_315_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 504, A1, 0.5295308V , 1
 2118, U1_316_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 521, A1, 0.5327395V , 1
 2121, U1_322_1,    0.387V ,    0.387V ,  35.0,  35.0, 2, U, 1, 533, A1, 0.5255620V , 1
 2122, U1_323_1,    0.384V ,    0.384V ,  35.0,  35.0, 2, U, 1, 523, A1, 0.5285175V , 1
 2139, U1_415_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 516, A1, 0.5277575V , 1
 2142, U1_423_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 529, A1, 0.5293619V , 1
 2143, U1_424_1,    0.387V ,    0.387V ,  35.0,  35.0, 2, U, 1, 505, A1, 0.5321485V , 1
 2147, U1_438_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 518, A1, 0.5312196V , 1
 2152, U1_448_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 526, A1, 0.5275042V , 1
 2155, U1_474_1,    0.394V ,    0.394V ,  35.0,  35.0, 2, U, 1, 671, A1, 0.5326551V , 1
 2156, U1_480_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 658, A1, 0.5328240V , 1
 2157, U1_481_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 669, A1, 0.5324862V , 1
 2160, U1_490_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 666, A1, 0.5317262V , 1
 2161, U1_502_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 662, A1, 0.5309663V , 1
 2162, U1_504_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 657, A1, 0.5341750V , 1
 2163, U1_505_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 678, A1, 0.5330773V , 1
 2164, U1_506_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 650, A1, 0.5351883V , 1
 2169, U1_525_1,    0.394V ,    0.394V ,  35.0,  35.0, 2, U, 1, 670, A1, 0.5324018V , 1
 2172, U1_536_1,    0.394V ,    0.394V ,  35.0,  35.0, 2, U, 1, 674, A1, 0.5329084V , 1
 2173, U1_539_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 656, A1, 0.5320640V , 1
 2175, U1_541_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 672, A1, 0.5320640V , 1
 2180, U1_555_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 655, A1, 0.5320640V , 1
 2182, U1_560_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 668, A1, 0.5313885V , 1
 2187, U1_583_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 717, A1, 0.5333306V , 1
 2188, U1_585_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 718, A1, 0.5291930V , 1
 2189, U1_586_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 700, A1, 0.5270820V , 1
 2240, U1_903_1,    0.396V ,    0.396V ,  35.0,  35.0, 2, U, 1, 560, A1, 0.5360327V , 1
 2241, U1_907_1,    0.395V ,    0.395V ,  35.0,  35.0, 2, U, 1, 541, A1, 0.5341750V , 1
 2250, U1_941_1,    0.394V ,    0.394V ,  35.0,  35.0, 2, U, 1, 561, A1, 0.5362861V , 1
 2252, U1_943_1,    0.395V ,    0.395V ,  35.0,  35.0, 2, U, 1, 554, A1, 0.5339217V , 1
 2258, U1_967_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 547, A1, 0.5339217V , 1
 2286, U1_1072_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 687, A1, 0.5320640V , 1
 2287, U1_1074_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 719, A1, 0.5247176V , 1
 2430, U1_1445_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 698, A1, 0.5305441V , 1
 2456, U1_1540_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 713, A1, 0.5337528V , 1
 2460, U1_1569_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 699, A1, 0.5321485V , 1
 2461, U1_1570_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 721, A1, 0.5328240V , 1
 2462, U1_1571_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 694, A1, 0.5326551V , 1
 2463, U1_1593_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 720, A1, 0.5291086V , 1
 2464, U1_1594_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 683, A1, 0.5334151V , 1
 2471, U1_1632_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 685, A1, 0.5316418V , 1
 2473, U1_1645_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 690, A1, 0.5315574V , 1
 2475, U1_1649_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 695, A1, 0.5301219V , 1
