1,425,IPS3_15IRH_I513420,6783001SU2,20260722,152450,F,0,2,,FFPFFPPPPPNN,1,F,4,20260722,152437,0,,,0,0,12.34 sec

 290, RI220,     2.70K ,   186.00K ,  20.0,  20.0, 2, R, 321, 362, A1, 7657.7498172K , 1
 331, RK226,   200.00K ,    19.00K ,  20.0,  20.0, 2, R, 321, 249, A1, 1725.5127167K , 1
 357, RC36,    39.00  ,    49.39  ,  20.0,  20.0, 2, R, 321, 192, A1, 12284.2308551  , 1
 470, PC206/PC209-NP,    1.000nF,    2.830nF,  30.0,  30.0, 0, C, 321, 64, A1, 0.0098166nF, 1
 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 99999.0000000uF, 1
 744, PR1009,    10.00K ,    10.00K ,  20.0,  20.0, 0, R, 321, 165, A1, 99999.9000000K , 1
 768, PR1625,    30.10K ,   300.00K ,  20.0,  20.0, 2, R, 321, 748, A1, 16100.3654622K , 1
 771, RC188,   200.00  ,   200.00  ,  20.0,  20.0, 2, R, 321, 580, A1, 41556.7404307  , 1
 772, RC162,   110.00  ,   110.00  ,  20.0,  20.0, 0, R, 321, 501, A1, 99999.9000000  , 1
 776, RC19,   150.00  ,   150.00  ,  30.0,  30.0, 0, R, 321, 676, A1, 99999.9000000  , 1
 781, RI111,    75.00K ,    15.51K ,  20.0,  20.0, 2, R, 321, 812, A1, 9872.1987085K , 1
 788, RV503,    20.00K ,    20.00K ,  20.0,  20.0, 2, R, 321, 90, A1, 8525.4121828K , 1
 818, RC43,    49.90  ,    49.90  ,  20.0,  20.0, 0, R, 321, 583, A1, 99999.9000000  , 1
 892, CK26/CK19-NP,    10.00uF,    22.00uF,  40.0,  20.0, 4, C, 321, 807, A1, 99999.0000000uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 99999.0000000uF, 1
 907, PC5912/PC5913,    22.00uF,    88.00uF,  20.0,  20.0, 4, C, 321, 108, A1, 99999.0000000uF, 1
 1024, PC5332/PC5355-NP,    10.00uF,    30.26uF,  30.0,  30.0, 4, C, 321, 322, A1, 99999.0000000uF, 1
 1116, CI107,   100.00nF,   100.00nF,  40.0,  40.0, 9, C, 321, 812, A1, 0.4192011nF, 1
 1152, CU58/CU271,   10.000uF,    7.000uF,  30.0,  20.0, 0, C, 321, 231, A1, 0.0058957uF, 1
 1185, PC217/CU273-NP,    4.700uF,    4.804uF,  20.0,  20.0, 0, C, 321, 638, A1, 0.0144750uF, 1
 1192, CE4/CE3-NP,   100.00nF,    26.03nF,  20.0,  20.0, 1, C, 321, 726, A1, 0.1006874nF, 1
 1337, PR5315,    20.00K ,    20.00K ,  20.0,  20.0, 2, R, 321, 644, A1, 6088.4605407K , 1
 1369, RC344,   100.00K ,   100.00K ,  20.0,  30.0, 2, R, 321, 815, A1, 42259.9404169K , 1
 1419, RC160,    10.00K ,    10.00K ,  20.0,  20.0, 0, R, 321, 368, A1, 99999.9000000K , 1
 1420, RC161,    10.00K ,    10.00K ,  20.0,  20.0, 0, R, 321, 363, A1, 99999.9000000K , 1
 1443, PR226,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 321, 808, A1, 4384.7682590K , 1
 1444, PR232,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 321, 139, A1, 6657.8673576K , 1
 1461, PR5910,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 321, 33, A1, 19894.4215645K , 1
 1463, RI201,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 321, 495, A1, 85057.0841101K , 1
 1467, RN22,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 321, 710, A1, 7777.4003716K , 1
 1631, PR1626,    32.40K ,   340.00K ,  20.0,  20.0, 2, R, 321, 41, A1, 97318.4446624K , 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 99999.0000000uF, 1
 1745, CR22,    10.00uF,    10.00uF,  40.0,  20.0, 0, C, 321, 486, A1, 0.0056766uF, 1
 1793, PQ1101_1_5,    0.600V ,    8.000mA,  30.0,  30.0, 14, QF, 321, 69, A1, 0.0066057mA, 1
 1794, PQ1102_1_5,    0.600V ,    6.000mA,  30.0,  30.0, 14, QF, 321, 293, A1, 0.0068050mA, 1
 1797, PQ1121_1_5,    0.600V ,    8.000mA,  30.0,  30.0, 14, QF, 321, 69, A1, 0.0072035mA, 1
 1799, PQ1124_1_5,    0.600V ,    7.000mA,  30.0,  30.0, 14, QF, 321, 293, A1, 0.0071537mA, 1
 1802, PQ1201_1_8,     0.60V ,    10.00mA,  30.0,  30.0, 14, QF, 321, 578, A1, 0.0073131mA, 1
 1804, PQ1206_1_8,     0.60V ,    10.00mA,  30.0,  30.0, 14, QF, 321, 578, A1, 0.0068349mA, 1
 1809, PQ1603_1_5,    0.600V ,    8.000mA,  30.0,  30.0, 14, QF, 321, 796, A1, 0.0071039mA, 1
 1810, PQ1604_1_5,     0.60V ,    10.00mA,  30.0,  30.0, 14, QF, 321, 796, A1, 0.0070939mA, 1
 1812, PQ201_4_3,    0.600V ,    7.000mA,  30.0,  30.0, 14, QF, 321, 20, A1, 0.0069943mA, 1
 1814, PQ202_4_3,    0.600V ,    7.000mA,  80.0,  80.0, 14, QF, 321, 792, A1, 0.0070441mA, 1
 1847, RPC221_2_3,    10.00K ,    10.00K ,  10.0,  10.0, 0, R, 365, 321, A1, 29.8480272K , 1
 1909, UB2_1_4,    0.771V ,    0.771V ,  68.0,  74.0, 2, U, 321, 454, B2, 2.1160664V , 1
 1911, UE1_1_35/,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 35, B2, 2.0374751V , 1
 1914, UE1_5_35,    0.862V ,    0.862V ,  50.0,  76.0, 2, U, 321, 300, B2, 2.2079688V , 1
 1915, UE1_6_35,    0.768V ,    0.768V ,  69.0,  73.0, 2, U, 321, 468, B2, 2.1107260V , 1
 1916, UE1_7_35,    0.749V ,    0.749V ,  73.0,  73.0, 2, U, 321, 482, B2, 2.0906398V , 1
 1917, UE1_8_35,    0.864V ,    0.864V ,  50.0,  76.0, 2, U, 321, 302, B2, 2.2079688V , 1
 1919, UE1_13_35,    0.819V ,    0.819V ,  58.0,  75.0, 2, U, 321, 808, B2, 2.1642096V , 1
 1920, UE1_14_35/,    0.616V ,    0.616V ,  90.0,  67.0, 2, U, 321, 293, B2, 1.9590433V , 1
 1923, UE1_18_35,    0.747V ,    0.747V ,  74.0,  73.0, 2, U, 321, 485, B2, 2.0908789V , 1
 1924, UE1_19_35,    0.764V ,    0.764V ,  70.0,  73.0, 2, U, 321, 484, B2, 2.1058639V , 1
 1925, UE1_20_35,    0.622V ,    0.622V ,  90.0,  67.0, 2, U, 321, 140, B2, 1.9643039V , 1
 1928, UE1_25_35,    0.717V ,    0.717V ,  81.0,  72.0, 2, U, 321, 140, B2, 2.0620249V , 1
 1930, UE1_27_35,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 338, B2, 2.0376345V , 1
 1933, UE1_30_35,    0.679V ,    0.679V ,  90.0,  70.0, 2, U, 321, 221, B2, 2.0226496V , 1
 1934, UE1_36_35,    0.733V ,    0.733V ,  77.0,  72.0, 2, U, 321, 44, B2, 2.0766911V , 1
 1935, UE1_38_35,    0.493V ,    0.493V ,  90.0,  59.0, 2, U, 321, 305, B2, 1.8374898V , 1
 1938, UE1_43_35,    0.750V ,    0.750V ,  73.0,  73.0, 2, U, 321, 88, B2, 2.0960599V , 1
 1940, UE1_47_35/,    0.809V ,    0.809V ,  60.0,  75.0, 2, U, 321, 298, B2, 2.1544853V , 1
 1941, UE1_48_35,    0.747V ,    0.747V ,  74.0,  73.0, 2, U, 321, 42, B2, 2.0907992V , 1
 1945, UE1_55_35,    0.764V ,    0.764V ,  70.0,  73.0, 2, U, 321, 325, B2, 2.1061827V , 1
 1946, UE1_58_35,    0.859V ,    0.859V ,  51.0,  76.0, 2, U, 321, 312, B2, 2.2028675V , 1
 1950, UE1_65_35/,    0.810V ,    0.810V ,  60.0,  75.0, 2, U, 321, 304, B2, 2.1548041V , 1
 1952, UE1_68_35,    0.606V ,    0.606V ,  90.0,  67.0, 2, U, 321, 314, B2, 1.9493987V , 1
 1953, UE1_69_35,    0.657V ,    0.657V ,  90.0,  69.0, 2, U, 321, 327, B2, 2.0034402V , 1
