1,1128,V14V15_GEN5_IRL,6783001JY2,20260722,213452,F,0,1,,FFPFFPPPPPNN,1,F,2,20260722,213441,0,,,0,0

 77, PR1014,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 531, 31, A2, 4.0000000  , 1
 87, PR1064,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 32, 527, A2, 4.0000000  , 1
 211, RE2,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 534, 43, A2, 4.0000000  , 1
 213, RE5,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 533, 45, A4, 4.0000000  , 1
 217, RE16,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3266, 542, A2, 4.0000000  , 1
 221, RE21,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 79, 514, A1, 4.0000000  , 1
 228, RE34,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 539, 3204, B2, 4.0000000  , 1
 233, RE44,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 121, 543, A2, 4.0000000  , 1
 234, RE46,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 312, 544, A2, 4.0000000  , 1
 236, RE52,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 517, 117, A1, 4.0000000  , 1
 237, RE53,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 537, 3223, A2, 4.0000000  , 1
 243, RE71,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 565, 125, B2, 4.0000000  , 1
 245, RE75,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 541, 3221, A2, 4.0000000  , 1
 254, RE113,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 536, 130, A2, 4.0000000  , 1
 258, RE128,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 538, 132, A2, 4.0000000  , 1
 260, RE136,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 518, 629, A2, 4.0000000  , 1
