1,933,ips3_15_ian8,6783001WCZ,20260723,211335,F,0,1,,FFPFFPPPPPNN,1,F,3,20260723,211325,0,,,0,0

 481, PC7910,   100.00nF,    90.00nF,  80.0,  80.0, 0, C, 654, 759, A1, 0.0947664nF, 1
 1447, RK525,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 756, 762, A1, 4.0000000  , 1
 1451, RK516,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 774, 760, A1, 4.0000000  , 1
 1619, RK515,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 89, 761, A1, 2502.1327417K , 1
 2247, UC1_478_38,    0.513V ,    0.814V ,  59.0,  75.0, 2, U, 755, 840, A1, 2.1539120V , 1
 2249, UC1_495_38,    0.890V ,    0.890V ,  46.0,  77.0, 2, U, 749, 840, A1, 2.2289313V , 1
 2269, UC1_613_38,    0.926V ,    0.926V ,  40.0,  78.0, 2, U, 751, 840, A1, 2.2704792V , 1
 2277, UC1_655_38,    0.926V ,    1.012V ,  28.0,  80.0, 2, U, 748, 840, A1, 2.3584042V , 1
 2472, UC1_478_40,    0.506V ,    0.771V ,  68.0,  74.0, 2, U, 755, 184, A1, 2.1115315V , 1
 2474, UC1_495_40,    0.881V ,    0.881V ,  47.0,  77.0, 2, U, 749, 184, A1, 2.2252678V , 1
 2492, UC1_613_40,    0.918V ,    0.918V ,  41.0,  78.0, 2, U, 751, 184, A1, 2.2656500V , 1
 2500, UC1_655_40,    0.915V ,    0.915V ,  42.0,  78.0, 2, U, 748, 184, A1, 2.2559916V , 1

Open < 745> <  71  745 > -> <745>-USB20_4_N Parts:UC1.808   ; <71>-USB20_4_CON_N Parts:JFP1.2
Open < 759> <  82  759 > -> <759>-+1.2V_EN Parts:PR7907-NP; <82>-+1.2V_VCCQ_EN Parts:PR7907-NP
Open < 758> < 104  217  453  664  758  813  822  825  831 > -> <758>-+1.2V_VCCQ_VIN Parts:PR7915-NP; <104>-+VCCPGPPR_3P3_1P8 Parts:UC1.643
Open < 776> < 747  776 > -> <776>-PCIE3_SSD_UFS_RXA1_N Parts:UC1.658   ; <747>-PCIE3_UFS_RXA1_N Parts:RK506
Open < 762> < 756  762 > -> <762>-UFS_CLK_REF_R Parts:UK2.2   ; <756>-UFS_CLK_REF Parts:CK520-NP
Open < 774> < 760  774 > -> <774>-CPU_CLK_REF_UFS Parts:UC1.443   ; <760>-CPU_CLK_REF_UFS_R Parts:UK2.1
