1,52,ips3_15_ian8,6783001WDA,20260724,003512,F,0,1,,FFPFPPPPPPNN,1,F,3,20260724,003503,0,,,0,0

 325, RU5,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 70, 728, A1, 4.0000000  , 1
 393, RU40,    2.000K ,    2.000K ,  80.0,  80.0, 2, R, 654, 722, A1, 825.7034084K , 1
 541, PR1029,   10.200K ,    8.300K ,  80.0,  80.0, 2, R, 654, 634, A1, 2502.1327417K , 1
 1073, CU8,  100.000uF,    7.000uF,  80.0,  80.0, 0, C, 654, 728, A1, 0.0017120uF, 1
 1245, PL103,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 800, 801, A1, 4.0000000  , 1
 1246, PL104,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 800, 801, A1, 4.0000000  , 1
 1786, PQ100_1_5,    0.600V ,    0.600V ,  30.0,  30.0, 20, QF, 444, 800, A1, 1.9955679V , 1
 1813, PQ5400_1_5,    0.600V ,    0.600V ,  80.0,  80.0, 20, QF, 441, 800, A1, 1.7331044V , 1

Open < 728> <  70  725  728 > -> <728>-+VBUS_CONN_R Parts:RU3; <70>-+VBUS_CONN Parts:RU3
Open < 630> < 204  630 > -> <630>-EC_USM_3V_5VALW Parts:RE128-NP; <204>-EC_USM Parts:RE128-NP
Open < 801> < 800  801 > -> <801>-CHARGER_OUT Parts:PC113; <800>-CHARGER_IN Parts:PJ101-NP
