1,542,V14V15_GEN5_IRL,6783001XRY,20260724,130918,F,0,1,,PFFPPPPPPPNN,1,F,2,20260724,130910,0,,,0,0


Open <  33> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <33>-VCORE_VSS_SENSE Parts:UC1.634; <1>-GND Parts:UV1.2
Open <  36> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <36>-VCCGT_VSS_SENSE Parts:UC1.641; <1>-GND Parts:UV1.2
Open <  44> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <44>-EC_AGND Parts:UE1.50; <1>-GND Parts:UV1.2
Open < 167> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <167>-CPU_FPR_RESET_R Parts:RI13; <1>-GND Parts:UV1.2
Open < 179> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <179>-NCTF7 Parts:UC1.1; <1>-GND Parts:UV1.2
Open < 180> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <180>-NCTF8 Parts:UC1.5; <1>-GND Parts:UV1.2
Open < 249> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <249>-NCTF2 Parts:UC1.1489; <1>-GND Parts:UV1.2
Open < 524> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <524>-VCCCORE_RGND Parts:PU1000.12; <1>-GND Parts:UV1.2
Open < 558> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <558>-PCIEX4_A_B_RCOMP_N Parts:UC1.1420; <1>-GND Parts:UV1.2
Open < 571> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <571>-NCTF4 Parts:UC1.1110; <1>-GND Parts:UV1.2
Open < 594> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <594>-NCTF3 Parts:UC1.1453; <1>-GND Parts:UV1.2
Open < 595> <   1   33   36   44  167  179  180  249  413  524  558  571  594  595  610  611 > -> <595>-NCTF1 Parts:UC1.1507; <1>-GND Parts:UV1.2
