1,26,IPS5_RYZEN5,67830023XE,20260724,163232,F,0,1,,FPPFPPPPPPNN,1,F,4,20260724,163157,0,,,0,0

 307, PCS1602,    470.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1154.8475446uF, 1
 308, PCS1603,    470.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1164.6659503uF, 1
 309, PCS1604,    470.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1164.0616611uF, 1
 310, PCS1605,    470.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1164.4603827uF, 1
 311, PCS1607,    470.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1162.5464695uF, 1
 316, PCS1621,    470.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1160.9048627uF, 1
 317, PCS1622,    470.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1160.0252415uF, 1
 590, PC16109,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1158.0285839uF, 1
 601, PC16124,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.7174291uF, 1
 605, PC1620,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.7167472uF, 1
 606, PC16209,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.6389669uF, 1
 607, PC1621,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.6553400uF, 1
 608, PC16210,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1158.4640255uF, 1
 609, PC16211,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1158.1678020uF, 1
 610, PC16212,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1158.4025958uF, 1
 611, PC16213,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.9835416uF, 1
 612, PC16214,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.3742714uF, 1
 613, PC16215,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1158.1951046uF, 1
 614, PC16216,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1158.1466479uF, 1
 615, PC16217,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.5523224uF, 1
 616, PC16218,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.0591477uF, 1
 617, PC16219,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1157.3087874uF, 1
 618, PC1622,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1156.2927580uF, 1
 620, PC16221,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1155.6582315uF, 1
 621, PC16222,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1154.1128498uF, 1
 622, PC16223,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.9106773uF, 1
 623, PC16224,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.0922880uF, 1
 624, PC16225,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.4947694uF, 1
 625, PC16226,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.3751592uF, 1
